date,time,x,y,z
2022-01-01,13:51:00,-4836763.108,-948293.281,-5074452.18
2022-01-01,13:54:00,-5735336.562,-767685.843,-4065956.601
2022-01-01,13:57:00,-6420902.753,-538493.196,-2909206.244
2022-01-01,14:00:00,-6867071.719,-274909.233,-1646164.168
2022-01-01,14:03:00,-7056486.182,7010.541,-322868.966
2022-01-01,14:06:00,-6981584.304,290178.628,1012252.542
2022-01-01,14:09:00,-6644961.764,557367.489,2310194.719
2022-01-01,14:12:00,-6059314.228,792115.449,3523227.852
2022-01-01,14:15:00,-5246948.66,979599.358,4606713.826
2022-01-01,14:18:00,-4238889.732,1107425.767,5520791.771
2022-01-01,14:21:00,-3073636.835,1166298.872,6231862.395
2022-01-01,14:24:00,-1795635.516,1150533.632,6713822.899
2022-01-01,14:27:00,-453527.515,1058391.947,6949009.657
2022-01-01,14:30:00,901738.045,892226.708,6928818.813
2022-01-01,14:33:00,2218858.234,658428.761,6654004.851
2022-01-01,14:36:00,3448134.455,367179.69,6134653.471
2022-01-01,14:39:00,4543372.587,32017.257,5389826.955
2022-01-01,14:42:00,5463656.353,-330771.923,4446884.166
2022-01-01,14:45:00,6174926.298,-702908.987,3340491.538
2022-01-01,14:48:00,6651300.271,-1064995.035,2111347.992
2022-01-01,14:51:00,6876065.706,-1397458.364,804661.907
2022-01-01,14:54:00,6842293.459,-1681530.253,-531554.517
2022-01-01,14:57:00,6553042.183,-1900198.966,-1848306.495
2022-01-01,15:00:00,6021137.516,-2039087.567,-3097465.469
2022-01-01,15:03:00,5268548.021,-2087211.55,-4233557.427
2022-01-01,15:06:00,4325404.754,-2037579.189,-5215413.207
2022-01-01,15:09:00,3228723.666,-1887610.775,-6007622.221
2022-01-01,15:12:00,2020899.831,-1639361.769,-6581739.279
2022-01-01,15:15:00,748052.121,-1299543.922,-6917224.588
2022-01-01,15:18:00,-541723.513,-879349.163,-7002103.171
2022-01-01,15:21:00,-1800129.057,-394085.739,-6833340.008
2022-01-01,15:24:00,-2980419.88,137364.615,-6416934.612
2022-01-01,15:27:00,-4039092.179,693254.255,-5767733.476
2022-01-01,15:30:00,-4937462.355,1249822.675,-4908966.683
2022-01-01,15:33:00,-5643095.573,1782272.692,-3871502.488
2022-01-01,15:36:00,-6131028.176,2265841.06,-2692819.912
2022-01-01,15:39:00,-6384725.819,2676915.402,-1415715.399
2022-01-01,15:42:00,-6396727.499,2994149.117,-86776.021
2022-01-01,15:45:00,-6168928.998,3199517.038,1245333.213
2022-01-01,15:48:00,-5712473.9,3279252.264,2531696.26
2022-01-01,15:51:00,-5047251.229,3224611.297,3725000.215
2022-01-01,15:54:00,-4201025.865,3032422.817,4781332.082
2022-01-01,15:57:00,-3208246.246,2705389.38,5661833.856
2022-01-01,16:00:00,-2108596.769,2252132.294,6334148.789
2022-01-01,16:03:00,-945361.42,1686976.03,6773606.76
2022-01-01,16:06:00,236320.016,1029482.053,6964105.735
2022-01-01,16:09:00,1391224.987,303755.024,6898677.438
2022-01-01,16:12:00,2475792.982,-462452.62,6579730.473
2022-01-01,16:15:00,3449783.418,-1238810.332,6018967.073
2022-01-01,16:18:00,4277793.899,-1993618.085,5236971.199
2022-01-01,16:21:00,4930581.655,-2695110.583,4262471.7
2022-01-01,16:24:00,5386138.198,-3312806.404,3131301.727
2022-01-01,16:27:00,5630472.142,-3818844.318,1885074.469
2022-01-01,16:30:00,5658053.199,-4189239.451,569622.491
2022-01-01,16:33:00,5471898.416,-4404997.025,-766734.155
2022-01-01,16:36:00,5083296.495,-4453023.372,-2075018.366
2022-01-01,16:39:00,4511184.462,-4326785.497,-3307440.399
2022-01-01,16:42:00,3781216.17,-4026689.476,-4419168.421
2022-01-01,16:45:00,2924580.085,-3560165.317,-5369950.432
2022-01-01,16:48:00,1976634.109,-2941463.878,-6125525.173
2022-01-01,16:51:00,975432.375,-2191189.046,-6658781.736
2022-01-01,16:54:00,-39794.855,-1335588.676,-6950654.244
2022-01-01,16:57:00,-1030151.568,-405630.217,-6990729.574
2022-01-01,17:00:00,-1958523.015,564099.527,-6777570.693
2022-01-01,17:03:00,-2790924.539,1536641.654,-6318760.497
2022-01-01,17:06:00,-3497714.423,2474028.63,-5630667.33
2022-01-01,17:09:00,-4054644.214,3338730.927,-4737933.767
2022-01-01,17:12:00,-4443715.178,4095145.607,-3672678.407
2022-01-01,17:15:00,-4653797.71,4711068.928,-2473416.646
2022-01-01,17:18:00,-4680986.087,5159091.252,-1183725.265
